NAME,SMILES,PROPERTY
DTXSID00707966,CCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.91831E-08
DTXSID90759611,FC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,6.98232E-05
DTXSID60822306,CC1=C2N=C(NC2=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)C(F)(F)F,2.33346E-06
DTXSID70475180,FC1(F)C2=C(N=CC=C2)C2=C(C=CC=N2)C1(F)F,2.28034E-05
DTXSID70533537,FC(F)C(F)(F)C(F)(F)CCl,0.000470977
DTXSID60176215,OC(C1=CC=C(C=C1)C1=CC=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,8.8308E-08
DTXSID80791464,OC(=O)C(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,8.10961E-05
DTXSID30162185,[NH4+].[O-]C(=O)C(F)(F)C(F)F,0.236048
DTXSID30371513,FC(F)(F)C(F)(C(Cl)=C)C(F)(F)F,9.95405E-05
DTXSID10674195,FC(F)(F)C(F)(F)C1=CC=CC=C1Br,8.6896E-05
DTXSID40611518,OC(=O)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.63743E-06
DTXSID00283715,NC1=NC(=O)C(F)=C(N1)C(F)(F)C(F)(F)F,3.58922E-05
DTXSID30510389,COC(=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.21107E-05
DTXSID20443273,OC(CCl)CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CCl,1.05925E-05
DTXSID70182241,FC(F)C(F)(F)OC1=CC2=CC=CC=C2C=C1,5.99791E-06
DTXSID70315613,CCN(CC)C(=O)C(F)C(F)(F)C(F)(F)COCC1=CC=CC=C1,1.8281E-05
DTXSID00447673,CCOC(=O)CC(F)(F)C(F)(F)F,0.000463447
